A	a
progenitus	descended.
prognatus	born, sprung from /son.
progredior	to go forth, advance, proceed, go out. to march forward.
progressio	advance, progress, increase.
progressus	advance, going forward, increase, a royal circuit.
proh	ah!.
prohibeo	to hold back, withhold, restrain. to prevent, hinder, restrain, prohibit, forbid.
prohibitio	prohibition, restrain, forbidding.
proicio	to throw forth, fling, abandon.
proinde	consequently, therefore, as a result.
prolabor	to slide forward, slip forward, fall forward, fall down.
prolapsio	a slipping or sliding.
prolatio	a bringing forward, mentioning /extension /deferring.
prolato	to enlarge, lengthen, extend /put off, defer.
prolecto	to entice, allure.
proles	descendant, progeny. offspring, descendants, posterity, (plants, fruit).
proletarius	a citizen of the lowest rank.
prolix	long, stretching.
prolixus	wide, broad, long / willing, obliging, favorable.
proloquium	assertion, utterance.
proloquor	to speak out, declare openly.
prolusio	preliminary exercise, prelude.
proluvier	innundation /scouring /discharge.
proluvies	overflowing.
promereor	to earn.
promerita	deserving.
promeritum	desserts, merit, credit.
prominens	jutting out, standing out /a projection.
promineo	to stand out, jut, extend.
promissio	a promise. a promise.
promissor	a promiser, suretor, guarantor.
promissum	promise, offer.
promitto	engage oneself, promise,. to let go forward, send forth, promise, undertake. to let go, send forth, undertake, promise. to put forth, make a promise, oath.
promontorium	peak, mountain crest, ridge, promontory.
prompte	promptly, resolutely, readily. readily
promptus	(persons) prepared, resolute, prompt. ready ready at hand, visible, apparent. ready, inclined to.
promulgatio	publication, promulgation (of a law).
promulgo	to publish.
promus	steward, butler.
promutuus	(cash) advanced, prepaid, arragned beforehand.
pronuntio	to proclaim, announce, declaim.
pronus	stooping.
propago	to extend.
propago-are	to spread, propagate.
propalata	made public, publicized.
propalo	to make public.
prope	near, near to, not far, not long from now. near, nearly, not far from, just now, closely.
propello	to drive before one, drive away.
propense	readily.
propero	to hasten / accelerate, speed up. to hasten, speed, move rapidly, come quickly. to hasten.
propino	to set before one.
propinquitas	contiguity intimacy, nearness, closeness.
propinquo	(intrans) to come near, draw near, approach.
propinquus	kinsman. near, close, similar, nearly related.
propitius	favorable, gracious. gracious.
propono	display, publish, relate, tell, propose, promise. to design, point out.
propositio	proposal, proposition.
propositum	a design, purpose, scheme, theme of discourse. intention, declaration.
proprie	exclusively, particularly, peculiarly. properly.
proprietas	ownership.
proprius	characteristic, particular. one's own, permanent, special, peculiar.
propter	(+ acc.) near, close, on account of, because of.
propugnaculum	tower, fortification, rampart, defense.
prora	prow.
prorsus	forward, straight ahead, to sum up, utterly, wholly. utterly.
proruo	to tumble down.
prosapia	family, stock.
prosequor	to pursue.
prosilio	to spring up, burst forth.
prosper	favorable, fortunate, lucky, prosperous. propitious.
prospera	good fortune.
prospere	prosperously
prosperitas	propserity, good fortune. success.
prosperus	prosperous
prospicio	to look into the distance, contemplate. to see from a distance, prosper, propitious.
prosterno	to knock down, cast down /destroy, ruin. to overthrow, prostrate.
prostratus	prostrated
prosum	(with dat.) to be useful, do good, benefit. to benefit.
protego	to protect.
protelo	to lead.
protendo	to stretch out.
protense	extensively. .
protero	to tread under foot, trample.
proterus	wanton.
prothonotario	protonotary.
prothoplastus	the first man.
protinus	forward, further on, continuously, immediately.
prout	as, just as, according to.
provectus	advanced, advanced in age. aged, old, advanced in years.
proveho	to carry on, carry forward, advance, promote,.
proventus	a growing up, increase, crop, yield, or issue.
provida	prudent.
providentia	providence, foresight, prudence.
provideo	to foresee, provide, make provision for.
providor	caretaker.
provisio	forethought.
provisor	one who provides for, or against.
provolvo	to fall down at another's feet.
proximus	nearest, closest, next.
prudens	discreet, sensible, judicious. prudent, wise.
prudenter	discreetly. wisely, discreetly.
prudentia	foresight, wisdom, discretion. practical judgment, discretion.
prurigo	to itch.
psallo	to play/sing to stringed instrument, esp. cithara. to sing Psalms of David, psalmodize, sing.
pualla	girl
pubertas	manhood.
pubes	young men, signs of manhood.
pubesco	to reach the age of puberty.
publicus	of the people, public, open to all.
puchre	beautifully, finely, handsomely.
pudendus	shameful, disgraceful.
pudeo	to be ashamed,.
pudet	it causes shame.
pudicus	modest. chaste.
pudor	ignominy,. modesty, bashfulness.
puella	girl.
puer	boy boy.
pueri	boys
puerilis	childish, boyish, folish, foolish.
pueriliter	boyishly, childishly, foolishly.
pugna	fight, battle, conflict, set-to.
pugnacitas	the desire to fight, pugnacity.
pugnaculum	fortress.
pugnator	combatant.
pugnax	contentious fond of fighting, combative, stubborn, contntious.
pugno	to fight.
pugnus	the fist.
pulchellus	pretty.
pulchritudo	beauty, fineness.
pulex	the flea.
pullulo	shoot up, sprout, burgeon. to increase, spread.
pullus	dark-clorored, blackish /sad, gloomy / a dark garment. young animal /chicken, chick. young.
pulmentum	anything eaten with bread, sauce or relish.
pulmo	the lung.
pulpa	flesh.
pulpitum	platform, stage.
pulsatus	touched, struck.
pulso	to strike (the hours). to strike, touch.
pulsus	beating, blow, push, impulse, influence.
pulverulentus	full of dust.
pulvis	dust, powder /arena, scene of action.
punctum	a prick, little hole, puncture /a point, spot, place.
pungo	to sting.
puniceus	purple, red. reddish.
punio	to punish, avenge, gave vengeance.
punitor	punisher, avenger.
pupa	doll /little girl.
pupillus	orphan, minor.
puppis	stern of a ship, the poop.
pupula	pupil of the eye.
purgamentum	rubbish, trash, filth, sweepings.
purgatio	cleaning out, cleansing /excsuing, justification.
purgo	to clean, cleanse, purify/ clear away, wash off/ justify.
purpura	purple dye, purple cloth /high rank, emperorship.
purpureus	brilliant, purple-colored.
purus	pure, free from, spotless, without stain. spotless.
pusillus	insignificant, very small. tiny, puny /petty, mean.
pusio	lad.
putator	pruner.
puteo	to stink, be redolent, smell bad.
puter	rotten, decayed, putrid /loose, crumbling /flabby.
putesco	to putrefy, day, rot.
puteulanus	blue.
puteus	well, pit.
puto	to clear, settle up, consider, think, believe, suppose, judge.
putus	pure, unmixed, unadulterated.
pyropus	bronze.
qua	(adv.) by which route, where. (fem. sing. abl.) (the abbess) BY WHOM she was advised.
quadra	dining table.
quadraginta	forty (Indecl.).
quadratus	square, a square.
quadriangulus	quadrangular
quadrigae	four-horse team.
quadrivium	crossroads, place where four roads meet. second stage of the medieval curriculum.
quadrum	a square.
quadrupes	quadruped
quadruplator	an exaggerator, informer.
quadruplex	quadruple
quadruplor	to be an informant.
quae	(fem. pl. nom.) Let THOSE (women) WHO have ears to hear . (neut. pl. acc.) those things WHICH we must have. (neut. plur. nom.) WHAT cannot be avoided must be endured.
quaerito	to seek/look earnestly for.
quaero	to plan, search, procure. to seek, search for, get, obtain.
quaestio	judicial investigation.
quaestor	quaestor
qualis	of what kind? of the kind that.
qualiscumque	of any kind whatever, any whatever.
qualislibet	of what sort you will.
qualitas	quality, property, nature.
qualiter	just as, in whatever manner/way.
quam	(adv. and conj.) how, than, as .. as possible. (fem. sing. acc.) (the church), WHICH the Lord loved.
quamdiu	such a long time.
quamobrem	for which reason, on which account, why.
quamquam	nevertheless, and yet (beginning a sentence)/ though. though, although.
quamtotius	? completely, all.
quamvis	(conj) however much, although/ as much as you like. adv/conj, ever so much.
quandoque	adv, of one time or another.
quandoquidem	since, because.
quanti	for how much, at what price.
quanto	by how much (+ comp. adj. or adv.).
quantum	(+ gen.) as much of .. as. adv, regard to, as much as, the more, the greater. how much?, how much!, as much as.
quantus	how great, as great as. how great?, how great!, how much, as great as.
quantuslibet	as much as you will, as great as you will.
quantuvis	as great as you please, however great.
quapropter	wherefore.
quare	wherefore, why, because of which thing.
quartus	fourth.
quarum	(fem. pl. gen.) their envy and jealousy, OF WHICH we know.
quas	(fem. pl. acc.) the fates, against whom he struggled.
quasi	as if, just as, just as if, as it were /a sort of.
quassatio	a shaking.
quasso	to batter. to shake violently, shake to pieces, break, shatter.
quatenus	in order that.
quatenus/quatinus	since, as, in order that, that.
quater	four times /again and again.
quattuor	four (indecl.).
quem	(masc. sing. acc.) (the man), WHOM the king struck.
quemadmodum	how, in what manner. how? /just as, lust like.
quendam	a certain (one, thing, someone).
queo	to be able.
quercetum	an oak grove, and oak forest.
quercus	oak tree.
queribundus	complaining, plaintive, whining.
querimonia	complaint, accusation, a charge in court.
queritor	to complain excessively, whine, gripe.
quernus	oaken.
queror	to complain, lament, bewail (dogs) whine, whimper.
querulus	complaining, whining, lamenting.
questus	complaint, lament.
qui	(masc. neut. nom.) (the prince) WHO loved a milkmaid. (masc. pl. nom.) Let THOSE (men) WHO have eyes to see.. (question) how? in what way? / somehow / wherewith.
quia	because.
quianam	why?.
quiane	why?.
quibus	(fem. pl. abl.) the beards, BY WHICH the pirates were known. (fem. pl. dat.) the good fortune, TO WHICH he owed his crown. (masc. pl. abl.) his sons, BY WHOM he was attacked when old. (masc. pl. dat.) the monastery IN WHICH he was intered. (neut. pl. abl.) the arms WITH WHICH he won Rome. (neut. pl. dat.) the crimes FOR WHICH he was executed.
quicquid	whoever, whatever, whatsoever, anything at all.
quicum	with whom, with which.
quid	(+ genitive) how much? how many?. (question) what (thing)?.
quidem	adv, in truth, certainly, at least, indeed. indeed, certainly, at least/ 
quidne	(question) why not?.
quies	quiet, rest, peace / a resting place / sleep / a dream. repose.
quiesco	to rest, sleep, be at ease / stop (doing something).
quiete	calmly, undisputably. quietly, calmly.
quieto	to become calm.
quietus	resting, sleeping, undisturbed / neutral / quiet, calm.
quilibet	anyone, anything, whatever (or whomever) you like.
quin	 rather, let, verily. (with verbs of hindering, etc.) "without + participle". but come now, rather, indeed,.
quindeciens	fifteen times.
quingenti	five hundred.
quinquagesimus	fiftieth, a fiftieth part.
quinque	five.
quinquennis	five years old.
quinquiplico	(-are) to multiply by five.
quippe	certainly, to be sure, indeed, of course.
quiritatio	a scream, cry, shriek.
quirito	(-are) to scream, cry out.
quis	(question) who?, what?, which?. anyone, anybody, anything.
quislibet	anybody, whom you will, all, any.
quispiam	anyone, anything / someone, something.
quisquam	anyone, anything.
quisque	each one, each person.
quisquis	whoever, whatever, whatsoever, anything at all.
quo	(masc. sing. abl.) (the money) BY means of WHICH he lived. (neut. sing. abl.) (the eagerness) THROUGH WHICH he died. to which place, to what place, whither, where.
quod	(+ comparative) the x the better (quod celior = the faster the. (beginning sentence) and, but, now. (neut. sing. acc.) (the sea), WHICH you cannot drink dry. (neut. sing. nom.) (the war), WHICH killed so many. (with time) since, as far as, to the extent that. because, whereas, the point that, the fact that.
quodammodo	in a certain way, in a certain measure.
quomodo	in what manner, how/ in whatever way, somehow.
quondam	former, one-time, deceased, late. formerly, once, at one time, ertswhile.
quoniam	since, whereas, because.
quoque	also, too.
quorum	(masc. pl. gen.) the army, half OF WHICH was ill. (neut. pl. gen.) dangers, OF WHICH there were not a few.
quos	(masc. pl. acc.) those WHOM he accused of treachery.
quot	how many, as many (indecl.).
quotiens	often.
quotienscumque	however often.
quovis	to whatever place you will.
rabidus	raging, crazy.
rabies	frenzy. madness, fury, frenzy.
rabiose	savagely, furiously.
radicitus	by the roots, utterly.
radio	beam.
radix	source, root, foundation.
rapiere	abduct
rapina	ravishment, rapine, robbery.
rapio	to ravish, steal, rob.
raptor	ravisher, thief.
raptus	abduction
rare	thinly, rarely, uncommonly.
rarus	rare, uncommon /far apart /thin, scanty.
ratio	procedure, theory. reckoning, account /reason, judgment, consideration. system, manner, method, procedure, manner.
rationabiliter	reasonably.
ratis	vessel.
rebellis	rebellious, rebels.
rebello	to wage war against, rebel.
reboare	to resound like celestial thunder.
recedentia	retreat, ebbing, disappearance / distant, far.
recedo	retire, withdraw. to fall back, pass away, depart. to go back, retreat, retire, disappear.
recenseo	to recount, review.
recessus	a going back, retreat /place of retreat, quiet place.
recidivus	returning, restored, rebuilt.
recipero	to receive, accept, withdraw, take back. to regain, revive, restore.
reciproca	reverberating.
recita	reads
recitare	read
recitatio	reading
recito	to read aloud, recite.
recognosco	to recognize, recollect, recall.
recolitus	venerable, honorable, worshipful.
recolligo	gather, regather, flock together.
recolo	to consider, recall, comtemplate. to cultivate, work again, resume, rehabilitate. to recall, reflect upon, rework, resume, rehabilitate.
reconcilio	to restore, repair / (of persons) unite, reconcile.
recondo	lay up, store, hoard.
recoquo	recast.
recordatio	recollection, memory, recall.
recordo	to be mindful of, recollect .
recordor	to remember, think of, recollect, ponder over.
recreo	to revive.
recro	to recreate, restore, revive.
rector	guider, leader, director, ruler, master.
rectum	virtue, right.
rectus	right, correct, proper, upright, natural, plain. straight, appropriate.
recubo	to recline, lie.
recuperatio	recovery, recuperation.
recupero	to regain, recoup, recover.
recuso	to refuse, decline, reject, be unwilling. to refuse.
redarguo	disprove, refute. with gen. prove guilty, convict. to confute.
reddo	to give back, restore, return /answer, translate, render. to impart, render, return, hand over, surrender. to repeat, recite, represent, imitate, pay up, deliver.
redemptio	ransoming, redemption, buying back, farming taxes.
redemptor	redeemer (Christ).
redeo	to be reduced to, fall back upon. to fall back upon, be reduced to, be brought to. to go back, come back, return /(revenue) to come in.
redigo	to bring back, make, reduce.
redimio	to crown, bind around, encircle, surround.
redimo	to redeem, ransom, buy back /hire, buy, procure.
redintegro	to repair, fix, restore.
reditus	return /income, revenue /reward.
redivivus	rennovated, reconstructed, rebuilt /recycled.
redomo	to break, tame .
redono	to give back, give up.
reduco	to lead back, bring back, return.
redundantia	overflowing, redundancy.
redundo	to overflow, stream over, overflow, excess, flood.
redux	one brought back from imprisonment.
refectorium	refectory, monastic mess hall.
refer	to recount, recite, announce, allege, report, reply.
refercio	to stuff, cram.
refero	to bring again, restore, repeat, echo, reproduce, recall. to bring as expected, pay up, deliver. to carry back, bring back, return. to put down, enter (in a register) /assign to a cause. to say back, reply, answer.
refert	(impersonal) it concerns, it makes a difference.
refertus	stuffed, crammed.
reficio	to repair, fill.
reformo	to form again, re-establish, mould anew.
refoveo	to cherish again, refresh, warm.
refragatio	resistance.
refreno	to check, rein in.
refrigerium	consolation.
refugium	refuge.
refulgo	to shine brightly.
refundo	to infuse.
refuto	to repel, repress, oppose.
regalis	of a king, royal, regal.
regenero	to be born again.
regimen	rule, guidance.
regina	queen.
regio	region.
regius	royal, regal.
regno	to reign, rule, predominate.
regnum	rule, authority, kingdom, realm.
regredior	to march back, retreat, return.
regressus	retreat.
regula	rule / monastic rule.
relatio	to report.
relatus	recital, report.
relaxo	to loosen, enlarge, relax, ease, lighten.
relevo	to lift again, lighten, alleviate, relieve.
relictus	forlorn left behind. someone having inherited, been bequeathed.
religio	fear of God, way of life, esp of monks/nuns.
religiosus	god-fearing.
relinquo	to leave behind, bequeath/abandon, forsake.
reliquum	remainder, what is left, leavings.
relucesco	to become bright again.
reluctor	to struggle against, resist.
remandatum	reply.
remando	to notify in return, send back word, respond.
remaneo	to remain behind, stay, continue.
rememdium	cure, remedy, nostrum, medicine.
remeo	to return home, return.
remigium	oar, rowing.
reminiscor	to recall.
remissio	abatement
remissiones	abatements
remitto	to forgive, send back.
removeo	to draw back, set aside, take away.
remuneror	to repay, reward. to repay.
remunio	to refortify.
reniteo	to flash.
renovatio	renewal, renovation, restoration.
renovo	to revive, renew, restore, repair, repeat.
renuntio	to declare, announce, report, give notice.
renuo	to deny, refuse, reject.
reor	to think, suppose, decide.
reparo	to restore, renew, make good /buy, purchase, obtain in trade.
repecto	to comb back.
repedo	to go back.
repello	to drive back, repel.
rependo	to ransom, pay back, requite.
repens	sudden, unexpected, fresh, recent.
repente	suddenly, unexpectedly.
repentina	sudden, unexpected.
repere	to crawl.
reperio	to get again, find, ascertain, invent, find again. to meet with, devise, hit upon, discover, find.
repetitio	repetition.
repeto	to fall upon again, repeat, demand repeatedly, return. to return to, begin again, deduce, recall, recollect. to seek again, ask back, recommence.
repleo	to replenish, fill up, fill up again, fill, satisfy.
repletus	filled, full.
replico	to reflect upon, withdraw.
repono	to deposit, lay up, store / requite.
repraesento	to display, hurry on.
reprehendo	to blame, reprove, refute, hold back, check, catch.
reproba	-ae, false.
reprobabilis	comtemptible.
reprobo	reject, disaprove, condemn.
repromitto	to promise in return, promise again.
repugno	to make resistance.
repungo	to prick, goad.
repuo	to reject.
reputo	to believe, suppose. to reckon, reflect upon, impute, think, judge.
requies	repose.
requietum	repose, rest.
requiro	to ask for, look for, demand, desire, miss. to seek, hunt for.
res	occurrence, deed, condition, case. thing, object, being, matter, affair, event, fact, circumstance.
resarcio	to repair, mend, patch.
reseco	to cut back, cut short, diminish. to cut loose
resero	to reveal.
reservo	keep back, hold back, reserve /keep, preserve.
resideo	to abide, be left behind, sit up.
resipisco	to recover one's senses, become reasonable.
resisto	to resist, halt, withstand, make a stand, oppose. to resist, halt, withstand.
resolvo	to enfeeble.
resono	to resound,  make resound with,.
resonus	resounding.
respectus	regard.
respergo	 to sprinkle, splash.
respicio	to look back, provide for, respect, have regard for. to turn attention to.
respiratio	respiration, exhalation.
respiro	to breathe /breathe again /recover /decline, diminish, ebb.
responsal	deputy, representative.
responsiva	a written reply, answering letter.
respublica	state.
respuo	to refuse, cast off, reject.
restauro	to restore.
restio	rope-maker.
restituo	restore, put back, replace, reinstate, repair.
restruo	to restore.
resumo	to recover, renew, repeat, resume.
resupinus	lying on one's back.
resurrectio	f, resurection, awakening, renewal.
retardo	to impede, slow down, obstruct.
retendo	to slacken, unbend, become flexible.
retineo	to hold back, restrain, detain, keep, maintain. to remember, not let go, keep, affirm.
retracto	to reconsider, undertake again.
retribuo	to give again, give as due.
retrogradior	to go backwards.
retrudo	to thrust back.
retundo	to check.
reus	culprit. defendant, accused, answerable, bound.
revello	to violate, pluck away.
revenio	to come back, return.
revera	in reality.
reverbero	to repel.
reverens	reverent.
reverenter	with awe, respectfully.
reverentia	awe, reverence.
revereor	to stand in awe.
reverto	to go back, return, revert.
revoco	to call back, recover, refer, revoke.
revolvo	to reflect upon, brood. to unroll a book, go over again, repeat.
rhetor	orator. rhetorician, teacher of rhetoric.
rhetoricus	rhetorical.
ridiculum	n, ridiculous.
ridiculus	facetious, laughable.
riginta	(indecl.) thirty.
rigor	stiffness, hardness, sterness.
rimor	to examine, explore, investigate, root up.
risus	laughter.
rite	duly.
ritus	ritual, usage, ceremony, rite.
rixor	to wrangle.
robur	strength.
robustus	hardy, robust.
rogare	pray
rogo	to ask, ask for.
ros	moisture.
rostrum	bill of a bird, beak.
rota	wheel.
rotensus	extensive.
roto	to turn round like a wheel, rotate, turn, go around.
rotundus	wheel-shaped, round.
rubor	redeness, blush, modesty, shame, disgrace.
rudimentum	trial, attempt, essay.
rudis	clumsy, rude, raw, rough, uncultivated.
rudo	to bellow, roar.
rufus	red, ruddy.
ruga	a wrinkle.
rugio	rumble.
ruina	downfall, destruction.
ruinosus	falling down, going to ruin.
rumex	sorrel.
rumino	to chew the cud, ruminate.
ruminor	to ruminate upon.
rumor	hearsay, rumor, gossip.
rumpo	to rupture, annull, violate.
runa	a dart.
runco	to thin out, weed, cull.
ruo	to rush, tumble down.
rursus	on the other hand, in return, back, again.
rustice	(adv) boorishly, in a peasant manner.
rusticus	rustic, rural /peasant.
ruta	bitterness, unpleasantness, the herb rue.
rutila	a spade, shovel.
rutilus	red, golden, auburn. shining.
sabbatum	sabbath.
sacculus	purse, little bag, little sack.
saccus	sack
sacer	sacred, accursed.
sacramentum	oath, sacraments, sacred rites.
sacrificium	sacrifice
sacrificum	sacrifice.
sacrilegium	sacrilege
sacrilegus	sacrilegious, impious.
saepenumero	repeated, again and again.
saepio	to hedge in.
saeptum	enclosure.
saeta	hair.
saevio	to rage, be furious, take violent action. to vent one's rage, rage.
saevus	furious.
sagaciter	wisely, accurately, sagaciously.
sagino	to fatten.
salsus	salty, witty.
saltem	adv, at least. at least, at all events.
salubris	advantageous.
salubriter	advantageously.
salus	health, safety, well-being, salvation /salutation. safety safety, help or assistance/ health, wellness, wholeness.
salutatio	welcome
salutifer	salvation-giving.
saluto	to wish well, greet, visit, reverence, pay respect to.
salutor	visitor, caller.
salvator	savior
salveo	to be well, be in good health. to be well.
salvus	unhurt, safe, sound.
sanctifico	to sanctify, make holy.
sanctimonia	moral purity. purity, charity, virtue, sanctity, sacredness.
sanctimonialis	nun, sister.
sanctio	ratification, saction, ordinance. to ratify, hallow, render inviolable or irrevocable.
sanctus	holy, sacred, /saint.
sane	(adverb) rationally, soberly /really, indeed. rationally, sensibly, really, indeed, to be sure.
sanitas	health, soundness of mend, sanity.
sanna	mocking grimace, mockery.
sano	to heal.
sanus	sound, healthy, sane.
sapiens	(subs.) a wise man, philosopher. wise, judicious.
sapienter	wisely, judiciously.
sapientia	wisdom.
sapio	to discern, know.
sapor	taste, elegance.
sarcina	bundle, pack, burden, load.
satago	have one's hands full, have enough to do. to bustle about. to pay a creditor, satisfy a creditor.
satellites	armed retainers, retinue.
satio	to satisfy, sate.
satis	enough, sufficient /sufficiently.
sato	to sow, plant.
sator	planter, father, creator.
satraps	viceroy, governor, ruler.
satura	satire.
saturo	to fill, satisfy.
satus	origin, start, beginning /planting, sowing.
saxum	large stone.
scaber	scabby, rough.
scabies	the itch, mange, a rash.
scabrosus	scabrous, rough.
scaccarium	chessboard, game of chess. .
scamnum	bench, stool.
scandalum	stumbling-block, quarrel.
scando	to ascend, board.
scapulare	sword-belt.
scapulus	the shoulder.
scelerata	accursed, miscreant.
scelestus	wicked, accursed, infamous, criminal.
scelus	accursed deed, wickedness, calamity. crime, sin, evil deed, wickedness.
sceptrum	rule, authority, royal staff.
schema	rhetorical figure, shape.
schola	school /elite troop of soldiers.
scholasticus	scholar, learned one, schoolboy.
scientia	knowledge, science, skill. knowledge.
scilicet	evidently, certainly, of course, no doubt, assuredly. namely, that is to say. rightly, it is just.
scindere	tear
scindo	to cut, rend, split/divide, separate.
scio	to know, understand.
sciscitor	to ask.
scisco	investigate, ask, inquire/ vote, ordain, resolve. to ascertain.
scissura	tearing
scissurae	tears
scitus	ordinance.
scius	discerning.
scopae	broom.
scrinium	bookcase, case for papers. chest.
scriptor	writer, author, scribe.
scrupulosa	intricate, thorny.
scrupulositas	rough spot, jagged edge.
sculpta	engraved.
scutulatus	diamond-shaped, shield-bearing.
scutum	oblong shield.
secedo	to go apart, withdraw. to withdraw.
secessus	solitary retreat.
secludo	to shut out.
seco	to fly or cut through. to settle (as to settle an argument).
secretarius	privy counsellor.
secretum	secret, solitary, private, retired, secret conversation.
secundum	(+ inf.), following, after, during, according to. (adv.) after, behind. accordingly, in an accordance with.
secundus	second.
securis	axe, hatchet, battle-axe.
securus	 free from, alone, safe.  untroubled by, easy, at ease. safe, secure, free from care, unworried, unconcerned.
secus	otherwise, not so. wrongly, badly, not as one would wish.
secuutus	follower, pursuer.
sed	but but/ and indeed, what is more.
sedatus	calmed, settled, checked.
sedeo	to settle down, reside. to sit.
sedes	residence, throne, temple.
seditio	dissension, quarrel, insurrection, mutiny, rising. sedition.
sedo	to settle, smooth, calm, allay.
seductor	seducer.
sedulo	zealously.
sedulus	zealous.
seges	wheatfield, wheat crop, field of wheat.
segnis	sluggish.
sem	prefix meaning half-.
semel	a single time, for the first time, even once, once, ever.
semen	seed, kin.
semestris	six months.
seminarium	warm-frame, seed-bed.
semino	to plant, breed, produce, give rise to.
semita	by-way, path, foot-path, track.
semotus	distant, isolated, removed.
semoveo	to remove, set apart, isolate, separate, set aside.
semper	always, ever. forever
sempiterna	eternal.
senectus	old age, dotage.
seneo	to be old, aged.
senesco	to grow old, to grow aged, to mature, wear out.
senilis	an old man, aged man.
senior	lord, elder.
senipes	steed.
senium	gloom, melancholy. old age, dotage/ decay, decline, deterioration.
sensa	thoughts, teachings.
sensilis	sensitive.
sensim	slowly, bit by bit, gradually, by degrees.
sensus	feeling, sense, understanding.
sententia	opinion, thought, way of thinking, meaning, purpose. sentiment, opinion, decision, saying.
sententiosus	sententious.
sentina	dregs, rabble.
sentio	to feel, judge, suppose, vote. to perceive, experience, hold an opinion,.
sentus	neglected, dilapidated.
seorsum	apart, separately.
sepelio	to ruin, destroy/ inter, bury.
sepes	fence.
sepono	sequester, banish.
seposita	distant.
septem	seven.
septiformus	sevenfold.
sepulchrum	grave, tomb, sepulcher.
sepulcrum	tomb.
sepultura	burial.
seputus	buried, sunk, immersed.
sequax	following, attending, attendant, pursuing.
sequor	to follow, trail.
sereno	to make clear, serene, make calm.
serenus	serene.
series	sequence.
serio	seriously.
serius	serious, grave, solemn.
sermo	discussion, speech. talk, common talk, conversation, rumor.
sermocinare	to talk to oneself.
sermocinatio	disputation.
sero	at a late hour, late. to beget. to sow, plant.
servare	save
servat	saves
servio	(+ dat.) to be a slave to, serve.
servitium	payment of dues, military service, service.
servitus	servitude, slavery.
servo	to preserve, serve, guard. to watch over, keep, protect, observe, save, reserve.
servus	servant, slave, serf.
sese	himself, herself, itself, =se.
sesqui	one and a half times.
sesquialter	once and a half.
sesquimellesimus	1500th.
sesquioctavus	containing nine eighths.
sesquitertia	one and a third.
sessio	sitting down, loitering, hanging around /chair, seat.
seu	(conj)or if..
severitas	severity, rigor, sternness, strictness.
severiter	harshly.
severus	stern, harsh.
sexaginta	sixty.
si	if.
sibimet	to them themselves.
sic	so, thus /yes, that is so, that is right.
sicco	-are, to dry up, out.
siccus	dry, thirsty/ sober, temperate. tearless
sicut	as, just as, as it were, (+verb in subj.) just as if.
sidereus	heavenly, starry.
sidus	constellation, star.
sigillum	seal, sign.
signum	seal, indication, sign/ mark /token. signal, miraculous works. symbol
silens	silent, still.
silentio	to  to keep silent , to silence.
silentium	silence, stillness, quiet, repose, obscurity.
sileo	to be still, silent/ (+ acc.) be silent about / rest.
silva	woods, forest, grove.
similis	like, similar, resembling. similar, like, resembling.
similitudo	likeness, resemblance/ uniformity.
simplex	simple, unaffected.
simul	at once, at the same time, together. together.
simulatio	pretense,. shamming.
simulator	hypocrite.
simulatus	counterfeit.
simulo	to pretend, sham.
simultas	sham, artifice.
sincerus	genuine. real
sine	(+ abl.) without.
singularis	alone of its kind, solitary /machless, unique. . alone. .
singulariter	adv, one by one, exceedingly, especialy.
singuli	one each, one apiece, single, separate.
singultim	stammeringly.
singulto	to sob.
singultus	sobbing, gasping, death rattle. sobbing.
singulus	single, separate, one at a time, one each.
sino	allow, suffer, permit, let. to allow, leave undone.
sinus	curve, fold, bend /pocket, lap /bay, gulf. inner feeling, secret heart.
siquidem	since, indeed.
sis	(2nd person present subjunctive of sum) you may be. (=si vis) if you wish, are willing, want, prefer.
sisto	to check.
sitiens	thirsting for.
sitio	to be thirsty.
sitis	thirst, dryness, drought, eager desire.
situs	region, idleness, inactivity.
sive	conj, on the one hand, but if, if..or if.
socer	father in law.
societas	fellowship.
socius	partner, comrade, associate, ally, fellow. sharing, associated, allied.
socius-i	m, companion.
socors	slothful.
socus	plowshare.
sodalitas	fellowship, companionship, secret society.
sodes	prithee.
solacium	help, support, military aid.
solamen	relief.
solator	supporter, solacer.
solemnis	festive.
solemnitas	festival.
soleo	to be accustomed, be used to. to to be wont.
solers	ingenious, adroit, skilled, ready, well-disposed.
solidus	whole, safe.
solitas	lonliness, solitude, being alone.
solito	 more than usually to be accustomed to, have the habit of, make a practice of.
solitudo	desert, isolation,loneliness, solitude.
solitus	accustomed, usual, habitual, ordinary, customary.
solium	chair of state, throne / bath-tub.
sollers	clever, skillful.
sollertia	ingenuity.
sollicite	anxiously, worriedly.
sollicito	to concern oneself about the future or about others. to stir up, incite, arouse.
sollicitudo	concern, solicitude, worry. uneasiness, anxiety, disquiet, apprehension.
sollicitus	troubled, anxious, concerned, worried. uneasy, worried, anxious, restless, agitated.
solor	solace, support.
solum	(adv) alone, only. land, country, soil, ground/ bottom, floor, foundation.
solus	alone, only, the only.
solutio	loosening /payment /solution /explanation.
solvo	to loosen, untie, release, free, dissolve, break up.
somes	body, remains, corpse, book, treatise.
somniculose	sleepily, drowsily.
somniculosus	sleepy, drowsy.
somnio	to dream /(+ acc.) to dream of, imagine foolishly. to dream /+ acc.to imagine foolishly.
